License Number,Business Name,DBA/Trade Name,business_id,Business Category,License Type,License Status,Initial Issuance Date,Expiration Date,license_city,license_state,license_zip,complaint_id,created_date,closed_date,complaint_type,descriptor,incident_address,incident_zip,complaint_address_type,status,resolution_description,complaint_count,eviction_count
2116814-DCWP,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",,BA-1289637-2022,Garage & Parking Lot,Premises,Active,09/26/2023,04/27/2025,NEW YORK,NY,10023,64398653,2025-03-19T10:23:08.000,2025-03-19T10:23:08.000,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,160 RIVERSIDE BOULEVARD,10069,ADDRESS,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,4,0
1429195-DCA,JPS RENOVATION CORPORATION,,BA-1289663-2022,Home Improvement Contractor,Premises,Failed to Renew,05/12/2012,02/28/2025,BRONX,NY,10470,,,,,,,,,,,0,1
2106407-1-DCA,GREEN BRYANT DELI & GROCERY CORPORATION,,BA-1290368-2022,Tobacco Retail Dealer,Premises,Surrendered,05/31/2022,12/31/2025,BRONX,NY,10460,64206863,2025-02-27T08:15:51.000,2025-02-27T08:58:09.000,Illegal Parking,Posted Parking Sign Violation,1950 BRYANT AVENUE,10460,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,49,5
0808939-DCA,INTERNATIONAL RECOVERY SYSTEMS LTD.,,BA-1290832-2022,Debt Collection Agency,Premises,Active,01/23/1997,01/31/2027,NEW YORK,NY,10022,,,,,,,,,,,0,1
2018791-DCA,HERRERA CONTRACTING CORP,,BA-1290921-2022,Home Improvement Contractor,Premises,Active,03/02/2015,02/28/2027,NEW YORK,NY,10025,64682125,2025-04-17T03:40:42.000,2025-04-19T12:58:54.000,HEAT/HOT WATER,APARTMENT ONLY,315 WEST  102 STREET,10025,ADDRESS,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",12,0
2065761-1-DCA,LEXINGTON FRESH FARM INC,,BA-1291002-2022,Tobacco Retail Dealer,Premises,Active,02/06/2018,12/31/2025,NEW YORK,NY,10065,64303732,2025-03-09T17:57:12.000,2025-03-26T13:51:28.000,Dead Animal,Rat or Mouse,802 LEXINGTON AVENUE,11221,ADDRESS,Closed,The Department of Sanitation removed the items.,6,0
2065450-1-DCA,LA PRESUMIDA GROCERY CORP,,BA-1291119-2022,Tobacco Retail Dealer,Premises,Active,01/29/2018,12/31/2025,BRONX,NY,10452,64420640,2025-03-21T19:47:12.000,2025-03-22T13:26:12.000,HEAT/HOT WATER,ENTIRE BUILDING,1386 NELSON AVENUE,10452,ADDRESS,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",1,3
1460486-DCA,LUCKY HOT DOG & SMOKE SHOP INC,,BA-1291257-2022,Tobacco Retail Dealer,Premises,Expired,03/22/2013,12/31/2022,BROOKLYN,NY,11217,,,,,,,,,,,0,1
1450781-DCA,J. ALAM HOME IMPROVEMENT INC.,,BA-1291514-2022,Home Improvement Contractor,Premises,Failed to Renew,11/26/2012,02/28/2025,BROOKLYN,NY,11218,64247241,2025-03-03T10:47:00.000,2025-03-04T10:56:00.000,Lead,Lead Kit Request (Residential) (L10),230 OCEAN PARKWAY,11218,ADDRESS,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,12,1
2069515-DCA,GRAND JEWELERS CORP,Grand Jewelers Corp.,BA-1291742-2022,Pawnbroker,Premises,Active,04/16/2018,04/30/2026,BRONX,NY,10453,64198229,2025-02-26T22:08:38.000,2025-02-26T22:59:55.000,Noise - Commercial,Loud Music/Party,2155 GRAND CONCOURSE,10453,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,17,0
2002579-661-DCA,"LEDESMIA, AMARILIS",AMOR DELI GROCERY,BA-1291807-2022,Tobacco Retail Dealer,Premises,Expired,01/14/2014,12/31/2023,NEW YORK,NY,10027,,,,,,,,,,,0,1
1422829-DCA,GREEN EARTH FOOD CORPORATION,,BA-1291983-2022,Tobacco Retail Dealer,Premises,Expired,03/23/2012,12/31/2023,BRONX,NY,10456,64208571,2025-02-27T22:07:22.000,2025-02-27T22:42:13.000,Noise - Commercial,Loud Music/Party,1420 GRAND CONCOURSE,10456,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,19,38
2028694-DCA,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",LAZ PARKING NY/NJ,BA-1292204-2022,Garage & Parking Lot,Premises,Active,09/22/2015,03/31/2027,NEW YORK,NY,10019,64360709,2025-03-15T22:49:16.000,2025-03-28T13:10:37.000,Consumer Complaint,Garage or Parking Lot,9 WEST   57 STREET,10019,ADDRESS,Closed,The Department of Consumer and Worker Protection (DCWP) finished reviewing your complaint. DCWP will contact you directly to report its status.,3,0
2073387-1-DCA,"HUDSON GROUP (HG) RETAIL, LLC",Hudson,BA-1292738-2022,Electronic Cigarette Dealer,Premises,Active,06/13/2018,11/30/2025,NEW YORK,NY,10018,64199070,2025-02-26T18:21:14.000,,Taxi Complaint,Driver Complaint - Non Passenger,625 8 AVENUE,10018,ADDRESS,In Progress,,24,0
2114494-DCA,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",,BA-1292799-2022,Garage & Parking Lot,Premises,Active,06/20/2023,03/31/2027,BROOKLYN,NY,11238,64576948,2025-04-06T21:46:45.000,2025-04-06T22:26:31.000,Noise - Residential,Banging/Pounding,555 WAVERLY AVENUE,11238,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3,5
2112910-DCA,KINGS RESTORATION & CONSTRUCTION WERE A HOME IS FIT FOR A KING LLC,,BA-1292839-2022,Home Improvement Contractor,Premises,Failed to Renew,05/01/2023,02/28/2025,FAR ROCKAWAY,NY,11691,,,,,,,,,,,0,3
2098813-DCA,HIGH MOUNTAIN FUNDING INC.,,BA-1293490-2022,Debt Collection Agency,Premises,Expired,05/19/2021,01/31/2025,NEW YORK,NY,10033,64281709,2025-03-07T11:49:06.000,2025-03-07T12:41:31.000,Abandoned Vehicle,With License Plate,4211 BROADWAY,10033,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,3,0
2006667-DCA,"HUANG, GUOXIN",,BA-1294620-2022,Home Improvement Contractor,Premises,Active,04/23/2014,02/28/2027,NEW YORK,NY,10002,64448284,2025-03-24T18:55:46.000,2025-03-25T08:05:08.000,Illegal Dumping,Removal Request,82 RUTGERS SLIP,10002,ADDRESS,Closed,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",1,7
1364739-DCA,"HERITAGE AUCTIONEERS & GALLERIES, INC.",HERITAGE AUCTIONS,BA-1294761-2022,Secondhand Dealer - General,Premises,Ready for Renewal,08/03/2010,07/31/2025,NEW YORK,NY,10022,64287175,2025-03-07T09:45:36.000,2025-03-08T12:23:24.000,Illegal Dumping,Removal Request,445 PARK AVENUE,10022,ADDRESS,Closed,The Department of Sanitation removed the items.,3,0
2085726-DCA,L&H WOODWORK & RENOVATIONS CORP,,BA-1294836-2022,Home Improvement Contractor,Premises,Expired,05/09/2019,02/28/2023,BRONX,NY,10455,64214182,2025-02-28T13:20:31.000,2025-03-03T08:48:31.000,Indoor Air Quality,Chemical Vapors/Gases/Odors,432 AUSTIN PLACE,10455,ADDRESS,Closed,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",3,1
2010652-DCA,JMPB Ventures Inc.,,BA-1295128-2022,Home Improvement Contractor,Premises,Failed to Renew,07/15/2014,02/28/2025,NEW YORK,NY,10065,64240039,2025-03-03T17:50:10.000,,Construction Lead Dust,In Common Areas,1175 YORK AVENUE,10065,ADDRESS,In Progress,,3,3
2039091-1-DCA,JOEY EXPRESS DELI INC,,BA-1296002-2022,Tobacco Retail Dealer,Premises,Active,06/15/2016,12/31/2025,BRONX,NY,10460,64337447,2025-03-12T22:38:00.000,2025-03-14T18:32:24.000,HEAT/HOT WATER,ENTIRE BUILDING,1951 SOUTHERN BOULEVARD,10460,ADDRESS,Closed,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,1,2
2017572-2-DCA,"HAMZAH, RADFAN A. & ALRUBAI, MARWAN A.",N & J GOURMET DELI & GROCERY,BA-1296451-2022,Tobacco Retail Dealer,Premises,Expired,01/26/2015,12/31/2022,BROOKLYN,NY,11222,64410662,2025-03-20T05:17:18.000,2025-03-20T07:38:34.000,Noise - Street/Sidewalk,Loud Talking,185 NORMAN AVENUE,11222,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,3,0
2081803-DCA,"IQBAL, MUZAFAR",Z & M GENERAL CONTRACTING,BA-1296487-2022,Home Improvement Contractor,Premises,Failed to Renew,01/31/2019,02/28/2025,BROOKLYN,NY,11223,,,,,,,,,,,0,1
2091846-DCA,"IVAN HOME RENOVATIONS, CORP",,BA-1296507-2022,Home Improvement Contractor,Premises,Expired,10/30/2019,02/28/2023,BROOKLYN,NY,11237,64195025,2025-02-26T10:45:03.000,2025-03-17T07:03:30.000,UNSANITARY CONDITION,PESTS,416 STANHOPE STREET,11237,ADDRESS,Closed,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.,6,0
2096106-DCA,"IMOBILE OF NY, LLC",,BA-1297597-2022,Electronics Store,Premises,Expired,07/31/2020,12/31/2022,BROOKLYN,NY,11234,64294514,2025-03-08T16:49:51.000,2025-03-08T19:49:16.000,Illegal Parking,Double Parked Blocking Traffic,5100 KINGS PLAZA,11234,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,7,2
2105539-DCA,JMI CONTRACTING CORP,,BA-1298005-2022,Home Improvement Contractor,Premises,Active,04/25/2022,02/28/2027,BRONX,NY,10467,64209056,2025-02-27T09:02:58.000,2025-02-27T18:33:28.000,UNSANITARY CONDITION,PESTS,2241 HOLLAND AVENUE,10467,ADDRESS,Closed,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",1,2
2029009-DCA,gildrenovation llc,,BA-1299525-2022,Home Improvement Contractor,Premises,Active,10/01/2015,02/28/2027,NEW YORK,NY,10016,64392883,2025-03-18T03:53:00.000,2025-03-21T18:50:00.000,Noise,Noise: Construction Before/After Hours (NM1),220 MADISON AVENUE,10016,ADDRESS,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,7,0
2045400-DCA,HOIPHONE 88 INC.,T-MOBILE,BA-1299680-2022,Secondhand Dealer - General,Premises,Expired,11/09/2016,07/31/2023,NEW YORK,NY,10002,64438973,2025-03-23T22:07:16.000,2025-03-23T22:34:32.000,Noise - Residential,Loud Music/Party,31 MARKET STREET,10002,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,3,0
2097131-DCA,HR WIRELESS LLC,,BA-1300123-2022,Electronics Store,Premises,Expired,12/06/2020,12/31/2024,NEW YORK,NY,10034,64239523,2025-03-02T11:20:16.000,2025-03-03T14:45:08.000,HEAT/HOT WATER,APARTMENT ONLY,4761 BROADWAY,10034,ADDRESS,Closed,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,7,1
2034934-DCA,LEMON TREE FOOD MARKET CORP,LEMON TREE NATURAL MARKET,BA-1300125-2022,Stoop Line Stand,Premises,Active,03/24/2016,03/31/2026,BROOKLYN,NY,11211,,,,,,,,,,,0,1
2096692-DCA,HR WIRELESS LLC,,BA-1300126-2022,Electronics Store,Premises,Expired,10/19/2020,12/31/2024,NEW YORK,NY,10033,64194691,2025-02-26T12:11:19.000,2025-02-26T18:55:29.000,Noise - Commercial,Loud Music/Party,558 WEST  181 STREET,10033,ADDRESS,Closed,The Police Department made an arrest in response to the complaint.,10,0
2029755-2-DCA,"HAVEMEYER DELI STOP ONE, INC",,BA-1300535-2022,Tobacco Retail Dealer,Premises,Expired,10/23/2015,12/31/2022,BROOKLYN,NY,11211,,,,,,,,,,,0,1
2030422-DCA,"KNICKERBOCKER PLAZA CAR PARK, LLC",,BA-1300874-2022,Garage & Parking Lot,Premises,Active,11/13/2015,03/31/2027,NEW YORK,NY,10128,64244702,2025-03-03T15:20:00.000,2025-03-04T12:30:00.000,Noise,Noise: Construction Equipment (NC1),1751 2 AVENUE,10128,ADDRESS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",3,0
1461292-DCA,J & J NEWS INC.,,BA-1300895-2022,Tobacco Retail Dealer,Premises,Active,04/01/2013,12/31/2026,NEW YORK CITY,NY,10004,64209443,2025-02-27T17:47:22.000,2025-02-27T17:55:33.000,Vendor Enforcement,Food Vendor,85 BROAD STREET,10004,ADDRESS,Closed,,30,0
1261900-DCA,"LEONARD STREET PARKING, LLC",,BA-1301811-2022,Garage & Parking Lot,Premises,Expired,07/19/2007,03/31/2023,NEW YORK,NY,10013,64249235,2025-03-03T08:22:27.000,2025-04-04T04:02:37.000,Consumer Complaint,Tobacco Sales,88 LEONARD STREET,10013,ADDRESS,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,1,3
2088322-2-DCA,KING 6 SMOKE SHOP & DELI CORP,,BA-1301933-2022,Tobacco Retail Dealer,Premises,Expired,07/16/2019,12/31/2022,BROOKLYN,NY,11223,64331815,2025-03-12T13:17:49.000,2025-03-12T14:13:31.000,Illegal Parking,Posted Parking Sign Violation,1714 WEST    6 STREET,11223,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,4,0
2058395-DCA,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",,BA-1302011-2022,Garage & Parking Lot,Premises,Active,09/19/2017,03/31/2027,BROOKLYN,NY,11205,64619095,2025-04-12T00:59:04.000,2025-04-12T01:37:01.000,Noise - Residential,Loud Music/Party,504 MYRTLE AVENUE,11205,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,1,3
1373255-DCA,"HUDSON GROUP (HG) RETAIL, LLC",HUDSON NEWS,BA-1302088-2022,Tobacco Retail Dealer,Premises,Active,10/01/2010,12/31/2025,NEW YORK,NY,10018,64199070,2025-02-26T18:21:14.000,,Taxi Complaint,Driver Complaint - Non Passenger,625 8 AVENUE,10018,ADDRESS,In Progress,,24,0
2029496-DCA,"LY, HAMETE",,BA-1302187-2022,Pedicab Business,Premises,Expired,10/14/2015,11/01/2023,NEW YORK,NY,10030,64311620,2025-03-09T21:08:01.000,2025-03-09T21:08:01.000,Elevator,Elevator - Single Device On Property/No Alternate Service,117 WEST  141 STREET,10030,ADDRESS,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,11,0
2052949-DCA,IMS GENERAL CONSTRUCTION CORP,,BA-1302190-2022,Home Improvement Contractor,Premises,Failed to Renew,05/15/2017,02/28/2025,BRONX,NY,10465,64281100,2025-03-07T16:18:27.000,2025-03-19T18:07:33.000,Street Sign - Dangling,Speed Limit,625 WILCOX AVENUE,10465,ADDRESS,Closed,The Department of Transportation has completed the request or corrected the condition.,3,0
1443873-DCA,GIDDEN CONTRACTING CORP,,BA-1302313-2022,Home Improvement Contractor,Premises,Expired,09/05/2012,02/28/2023,BROOKLYN,NY,11207,,,,,,,,,,,0,1
2000464-DCA,KASHEM MOHAMMED A,KASHEM CONSTRUCTION CO,BA-1302981-2022,Home Improvement Contractor,Premises,Failed to Renew,11/05/2013,02/28/2025,BROOKLYN,NY,11210,,,,,,,,,,,0,7
0901088-DCA,LTG PARKING CORP.,,BA-1303023-2022,Garage & Parking Lot,Premises,Voided,07/27/1998,03/31/2025,MANHATTAN,NY,10023,64471503,2025-03-26T04:32:00.000,2025-03-26T10:21:00.000,Lead,Lead Kit Request (Residential) (L10),150 WEST END AVENUE,10023,ADDRESS,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,1,4
1277351-DCA,"GRANDA MARTINEZ, JIMMY FERNANDO",MOON VARIETIES,BA-1304306-2022,Secondhand Dealer - General,Premises,Ready for Renewal,02/11/2008,07/31/2025,BRONX,NY,10452,64239191,2025-03-02T00:58:59.000,2025-03-02T01:19:16.000,Noise - Residential,Loud Music/Party,1355 GRAND CONCOURSE,10452,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,13,5
2097839-1-DCA,INWOOD FOOD CORP,PARK TERRACE DELI,BA-1304544-2022,Tobacco Retail Dealer,Premises,Surrendered,02/25/2021,12/31/2023,NEW YORK,NY,10034,64234091,2025-03-02T23:32:04.000,2025-03-03T00:52:03.000,Noise - Street/Sidewalk,Loud Music/Party,510 WEST  218 STREET,10034,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,3,0
2106124-DCA,"Happy Nanny, LLC",,BA-1306551-2022,Employment Agency,Premises,Expired,05/18/2022,05/01/2024,BROOKLYN,NY,11222,,,,,,,,,,,0,3
1463650-DCA,KCAID PHARMACY INC.,PREFERRED PHARMACY,BA-1307460-2022,Dealer In Products For The Disabled,Premises,Active,04/29/2013,03/15/2027,BROOKLYN,NY,11207,64431905,2025-03-22T23:38:05.000,2025-03-23T00:51:47.000,Noise - Street/Sidewalk,Loud Music/Party,1771 BROADWAY,11207,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,5,0
2100351-DCA,HONESTY CONSTRUCTION LLC,,BA-1307496-2022,Home Improvement Contractor,Premises,Expired,07/23/2021,02/28/2023,BRONX,NY,10472,,,,,,,,,,,0,1
1392339-DCA,J & M GENERAL AUTO REPAIR CORP.,,BA-1307511-2022,Secondhand Dealer - General,Premises,Ready for Renewal,05/17/2011,07/31/2025,NEW YORK,NY,10034,64307553,2025-03-10T03:58:31.000,2025-03-10T04:23:03.000,Noise - Commercial,Loud Talking,5060 BROADWAY,10034,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,4,0
2043878-1-DCA,"K&N STORES, INC.",7 ELEVEN STORE #37539A,BA-1307596-2022,Tobacco Retail Dealer,Premises,Active,09/19/2016,12/31/2025,NEW YORK,NY,10025,64333718,2025-03-12T13:02:26.000,2025-03-13T12:50:29.000,HEAT/HOT WATER,ENTIRE BUILDING,801 AMSTERDAM AVENUE,10025,ADDRESS,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",1,3
2092125-DCA,KK ENTERPRISE GROUP INC,,BA-1307766-2022,Garage & Parking Lot,Premises,Active,11/08/2019,03/31/2027,BRONX,NY,10458,64198731,2025-02-26T13:50:33.000,2025-02-26T20:45:23.000,Illegal Parking,Blocked Sidewalk,4745 PARK AVENUE,10458,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8,0
2030253-DCA,"IA Construction Management, Inc.","IA Construction Management, Inc",BA-1307798-2022,Home Improvement Contractor,Premises,Active,11/09/2015,02/28/2027,BROOKLYN,NY,11205,64241147,2025-03-03T16:08:00.000,2025-04-15T11:45:00.000,Noise,Noise: Manufacturing Noise (NK1),63 FLUSHING AVENUE,11205,ADDRESS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",5,0
2098572-2-DCA,"JOSIE GREEN'S OF NY, INC",,BA-1307883-2022,Electronic Cigarette Dealer,Premises,Active,05/05/2021,11/30/2026,NEW YORK,NY,10041,64368503,2025-03-15T09:39:49.000,2025-03-17T08:25:40.000,Damaged Tree,Entire Tree Has Fallen Down,55 WATER STREET,10041,ADDRESS,Closed,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",11,0
2095747-DCA,HOUSE 39 GARAGE LLC,,BA-1307888-2022,Garage & Parking Lot,Premises,Active,05/21/2020,03/31/2027,NEW YORK,NY,10016,64296488,2025-03-08T23:57:24.000,2025-03-09T00:13:28.000,Noise - Residential,Loud Music/Party,225 EAST   39 STREET,10016,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,5,0
1278809-DCA,"KOSNAD, INC.",,BA-1308170-2022,Home Improvement Contractor,Premises,Active,03/07/2008,02/28/2027,BROOKLYN,NY,11204,64189761,2025-02-25T18:51:35.000,,DOOR/WINDOW,DOOR,2214 64 STREET,11204,ADDRESS,Open,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,6,0
2092774-2-DCA,J.C LEX INC.,,BA-1308501-2022,Electronic Cigarette Dealer,Premises,Expired,12/05/2019,11/30/2024,NEW YORK,NY,10021,,,,,,,,,,,0,1
2106533-DCA,"KHURCHAND, KRISHHANDUTT",1ST CHOICE WIRELESS OF FLATBUSH AVE,BA-1308846-2022,Electronics Store,Premises,Expired,06/03/2022,12/31/2022,BROOKLYN,NY,11226,64714732,2025-04-21T18:27:09.000,,Consumer Complaint,Tobacco Sales,730 FLATBUSH AVENUE,11226,ADDRESS,In Progress,,1,3
2096181-DCA,LUNA MULTISERVICES INC,,BA-1308907-2022,Electronics Store,Premises,Expired,08/12/2020,12/31/2024,BRONX,NY,10468,64246538,2025-03-03T23:18:56.000,2025-03-04T15:07:32.000,Indoor Air Quality,Chemical Vapors/Gases/Odors,2707 SEDGWICK AVENUE,10468,ADDRESS,Closed,The NYC Health Department (DOHMH) found a service request already exists for the same location. This request has been closed. DOHMH is addressing the original request.,15,5
2061843-2-DCA,GOLD ORGANIC MARKET CORP,,BA-1309083-2022,Tobacco Retail Dealer,Premises,Active,11/28/2017,12/31/2026,BROOKLYN,NY,11201,64229085,2025-03-01T20:10:09.000,2025-03-04T08:03:24.000,HEAT/HOT WATER,APARTMENT ONLY,257 GOLD STREET,11201,ADDRESS,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2,3
2063608-2-DCA,HEARTLAND NEWSSTAND CORP.,,BA-1309704-2022,Tobacco Retail Dealer,Premises,Expired,12/19/2017,12/31/2022,STATEN ISLAND,NY,10304,64228488,2025-03-01T06:21:41.000,2025-04-07T02:22:23.000,Graffiti,Graffiti,2655 RICHMOND AVENUE,10314,ADDRESS,Closed,,14,0
2010893-DCA,I CAN FIX IT FOR YOU INC.,,BA-1309826-2022,Electronics Store,Premises,Expired,07/18/2014,12/31/2022,NEW YORK,NY,10016,64198051,2025-02-26T13:59:32.000,2025-02-26T14:02:21.000,Vendor Enforcement,Food Vendor,200 PARK AVENUE,10017,ADDRESS,Closed,,3,0
2077275-1-DCA,HARIRODA CORP,369 FARMER'S MARKET,BA-1309883-2022,Tobacco Retail Dealer,Premises,Expired,08/21/2018,12/31/2023,NEW YORK,NY,10011,64272198,2025-03-06T22:38:44.000,2025-03-06T23:23:43.000,Encampment,,64 WEST    9 STREET,10011,ADDRESS,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,6,0
1461260-DCA,IMPERIAL PARKING US LLC,IMPARK,BA-1310108-2022,Garage & Parking Lot,Premises,Active,04/04/2013,03/31/2027,CORONA,NY,11368,64344469,2025-03-13T08:07:53.000,2025-03-13T11:49:11.000,Illegal Parking,Posted Parking Sign Violation,41 SEAVER WAY,11368,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3,0
1274243-DCA,"HANDS ON CONTRACTING, INC.",,BA-1310121-2022,Home Improvement Contractor,Premises,Failed to Renew,12/14/2007,02/28/2025,BROOKLYN,NY,11238,64387420,2025-03-17T01:19:12.000,,HEAT/HOT WATER,APARTMENT ONLY,309 LAFAYETTE AVENUE,11238,ADDRESS,Open,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,4,2
2103217-DCA,LEONARD STREET PARKING LP,EDISON PARK FAST,BA-1310200-2022,Garage & Parking Lot,Premises,Active,12/22/2021,03/31/2027,NEW YORK,NY,10013,64249235,2025-03-03T08:22:27.000,2025-04-04T04:02:37.000,Consumer Complaint,Tobacco Sales,88 LEONARD STREET,10013,ADDRESS,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,1,3
2002123-2-DCA,LEX & 103 INC,LEX & 103 INC,BA-1310201-2022,Tobacco Retail Dealer,Premises,Active,01/02/2014,12/31/2026,NEW YORK,NY,10029,,,,,,,,,,,0,1
0469761-DCA,INTEGRITY PARKING LLC,,BA-1310343-2022,Garage & Parking Lot,Premises,Voided,05/15/2006,03/31/2025,NEW YORK,NY,10021,64508264,2025-03-30T08:22:23.000,2025-03-30T10:42:01.000,Noise - Residential,Loud Music/Party,315 EAST   72 STREET,10021,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4,0
2099614-2-DCA,GUCHY DELI GROCERY CORP,,BA-1310371-2022,Tobacco Retail Dealer,Premises,Revoked,06/22/2021,12/31/2022,BROOKLYN,NY,11213,64472363,2025-03-26T17:50:47.000,2025-03-26T18:46:25.000,Noise - Residential,Banging/Pounding,1492 PARK PLACE,11213,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2,1
2028691-DCA,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",LAZ PARKING NY/NJ,BA-1310728-2022,Garage & Parking Lot,Premises,Active,09/22/2015,03/31/2027,NEW YORK,NY,10128,64498389,2025-03-29T18:59:00.000,2025-04-02T16:00:00.000,Noise,"Noise, Barking Dog (NR5)",501 EAST   87 STREET,10128,ADDRESS,Closed,"The Department of Environmental Protection (DEP) sent the dog owner a warning letter. It includes recommendations on how to reduce their dog's barking. DEP also sent you a letter to acknowledge your complaint.   DEP expects it may take about six weeks for the changes they recommend to take effect.   If the excessive dog barking continues after that time, please file a new Service Request.",3,0
